foodName,carbohydrates,protein,fat
纯牛奶（全脂，爱尔兰金 凯利全脂牛奶),4.1,3.2,3.6
纯牛奶（全脂，澳大利亚 澳田纯牛奶）,3.9,3.6,3.5
纯牛奶（全脂，比利时纯 牧牛奶),4.0,3.5,3.4
纯牛奶（全脂，波兰美波 全脂纯牛奶）,7.8,3.2,3.4
纯牛奶（全脂，丹麦爱氏 晨曦有机全脂牛奶),5.2,3.5,3.6
纯牛奶（全脂，德国爱氏 晨曦纯牛奶),5.5,3.4,3.6
纯牛奶（全脂，德国甘蒂 牧场纯牛奶）,4.7,3.3,3.6
纯牛奶（全脂，法国得乐 思全脂牛奶),4.3,3.7,3.6
"纯牛奶(全脂,光明纯牛奶)",4.0,3.4,3.4
纯牛奶（全脂，光明优+ 高品质纯牛奶),4.5,3.6,3.8
纯牛奶（全脂，广泽澳醇 纯牛奶）,4.1,3.5,3.6
纯牛奶 (全脂，花园牌),4.0,2.9,3.3
"纯牛奶(全脂,辉山纯牛奶)",4.7,3.5,3.7
纯牛奶（全脂，龙丹松花 江牧场纯牛奶),4.8,3.6,3.7
纯牛奶(全脂，麦趣尔牌),5.3,2.9,3.1
"纯牛奶(全脂,蒙牛纯牛奶)",4.7,3.4,3.8
纯牛奶（全脂，蒙牛特仑 苏有机纯牛奶),4.9,3.4,4.0
纯牛奶（全脂，明治醇壹 高温杀菌乳),4.8,3.6,3.7
纯牛奶（全脂，瑞士艾美 全脂牛奶),6.4,3.2,3.5
纯牛奶（全脂，圣牧有机 纯牛奶),5.7,3.5,4.1
纯牛奶（全脂，天润牌浓 缩纯奶）,5.7,3.2,3.5
纯牛奶(全脂，完达山纯牛奶),3.6,3.5,4.2
纯牛奶 (全脂，西域春牌),4.8,2.9,3.1
纯牛奶(全脂，夏进纯牛奶),4.4,3.5,3.5
纯牛奶（全脂，现代牧业 纯牛奶),5.1,3.3,3.6
纯牛奶(全脂，新希望复原乳）,4.6,3.0,3.6
纯牛奶（全脂，新希望千 岛湖牧场纯牛奶),4.3,3.2,3.5
纯牛奶(全脂，伊利纯牛奶),4.2,3.4,3.9
纯牛奶（全脂，伊利金典 有机纯牛奶),5.4,3.5,4.1
纯牛奶（全脂，意大利培 兰全脂纯牛奶）,4.2,3.5,3.6
纯牛奶 (代表值，低脂),4.8,3.5,1.5
纯牛奶（低脂，帕玛拉特）,5.0,2.9,1.3
纯牛奶（低脂，澳大利亚 德运部分脱脂纯牛奶),5.0,3.3,2.0
纯牛奶（低脂，德国艾德 牧牌部分脱脂纯牛奶),3.8,3.5,1.7
纯牛奶（低脂，蒙牛特仑 苏低脂牛奶),5.2,3.8,1.3
纯牛奶（低脂，明治醇壹 低脂肪高温杀菌乳）,5.2,3.6,1.2
纯牛奶（低脂，新西兰安 佳低脂牛奶),5.5,3.8,1.5
纯牛奶（低脂，新西兰恒 天然田园低脂牛奶）,3.8,3.7,1.7
低脂奶）,5.4,3.7,1.3
尔蒙特低脂牛奶）,4.6,3.4,1.4
,4.6,3.5,0.3
,4.8,2.9,0.2
澳田脱脂牛奶),4.3,3.7,0.3
晨曦脱脂纯牛奶）,5.5,3.5,0.3
牧场脱脂牛奶),4.0,3.3,0.5
佳轻欣脱脂牛奶）,4.2,3.9,0.0
,5.6,2.7,2.0
卡夫牌）,10.3,2.7,3.0
卡夫牌),10.0,2.8,3.2
三元牌）,9.9,2.3,2.8
调制乳 (全脂，学生奶),8.1,2.6,2.6
核桃牛奶）,6.6,2.5,2.8
苏醇纤牛奶),5.5,3.4,4.0
型零乳糖牛奶）,4.0,3.0,3.5
醇牛奶),5.4,3.4,3.7
调制乳（全脂，旺仔复原 乳牛奶）,10.1,2.5,2.6
调制乳（全脂，夏进炼乳 牛奶）,8.2,2.5,3.1
调制乳（全脂，新西兰安 佳原味进口儿童牛奶）,5.9,3.6,3.5
调制乳（全脂，新希望特 浓牛奶),5.4,3.3,3.5
