foodName,carbohydrates,protein,fat
婴儿配方奶粉（圣元优博 爱系列1婴儿配方奶粉）,0.0,27.0,55.3
婴儿配方奶粉（圣元优聪 金装要儿配方奶粉),,25.0,55.2
婴儿配方奶粉（特选初生 婴儿配方奶粉1阶段),0.6,26.8,56.2
婴儿配方奶粉（完达山1 段配方奶粉婴儿配方奶粉),0.5,26.0,56.5
婴儿配方奶粉（完达山金 装元乳婴儿配方奶粉）,0.5,26.0,56.5
婴儿配方奶粉（完达山育儿 慧金装婴儿配方奶粉1阶段),0.5,25.8,56.8
婴儿配方奶粉（完达山元 乳婴儿配方奶粉1阶段）,0.5,26.0,56.5
婴儿配方奶粉（雅培金装 喜康宝婴儿配方奶粉）,3.0,26.0,58.2
婴儿配方奶粉（雅士利α- 金装婴儿配方奶粉）,55.2,11.8,27.1
婴儿配方奶粉（伊利金领 冠婴儿配方奶粉）,54.3,11.1,27.5
婴儿配方奶粉（伊利金装 婴儿配方奶粉）,60.5,10.9,27.0
婴儿配方奶粉（伊利婴儿 配方奶粉）,56.0,11.0,27.0
婴儿配方羊奶粉（美可高 特小婴配方羊奶粉),55.9,13.6,25.5
大薯（鲜）[参薯］,24.9,2.1,0.2
豆薯(鲜)「凉薯，地瓜，沙葛],13.4,0.9,0.1
葛（鲜）[葛署，粉葛］,36.1,2.2,0.2
山药(鲜）[薯，大薯］,12.4,1.9,0.2
山药（干）,70.8,9.4,1.0
槟榔芋 (鲜),,3.0 0.1,19.7
芋头［芋书、毛芋】,12.7,1.3,0.2
芋头 (煮),13.0,2.9,0.1
姜（鲜）[黄姜】,10.3,1.3,0.6
姜(干),64.0,9.1,5.7
姜（子姜，鲜）[嫩姜],3.7,0.7,0.6
洋姜（鲜）[菊芋，鬼子姜],15.8,2.4,Tr
扁豆[月亮菜],8.2,2.7,0.2
蚕豆 (鲜),19.5,8.8,0.4
刀豆（鲜）,7.0,3.1,0.3
豆角,6.7,2.5,0.2
豆角（鲜，白）,7.4,2.2,0.2
荷兰豆,4.9,2.5,0.3
龙豆（鲜）,5.0,3.7,0.5
龙牙豆（鲜）[玉豆],2.4,2.6,0.2
毛豆（鲜）[青豆，菜用大豆],10.5,13.1,5.0
四季豆 （菜豆）,5.7,2.0,0.4
豌豆（带荚，鲜）【回回豆],21.2,7.4,0.3
豌豆尖,53.9,3.1,Tr
油豆角（鲜）[多花菜豆],3.9,2.4,0.3
垅船豆 (鲜),6.8,2.0,0.4
芸豆（鲜）,7.4,0.8,0.1
虹豆 (长),5.8,2.7,0.2
扁豆,7.4,2.3,0.2
虹豆,7.3,2.2,0.3
四季豆【菜豆、芸豆],6.0,2.0,0.2
四棱豆[杨桃豆、翅豆],4.2,2.0,0.2
甜脆荷兰豆[甜豆],8.1,3.0,0.3
发芽豆,19.4,12.4,0.7
黄豆芽,,4.5 1.6,4.5
黄豆芽,-,1.6,3.6
绿豆芽,1.2,0.1,2.6
黑豆苗,1.6,0.8,2.6
豌豆苗,,4.8 0.8,2.6
莜麦面,67.7,13.7,8.6
燕麦,77.4,10.1,0.2
藜麦（散装）,57.8,14.0,6.0
藜麦（散装）,58.5,10.4,7.5
高粱面面条,68.7,7.0,0.2
白金瓜,6.2,0.4,-
白兰瓜,5.3,0.6,0.1
哈密瓜,7.9,0.5,0.1
黄河蜜瓜,4.0,0.4,Tr
金塔寺瓜,2.0,0.6,0.1
灵蜜瓜,0.4,0.5,0.1
麻醉瓜,3.6,0.7,0.1
甜瓜[香瓜],6.2,0.4,0.1
西瓜（代表值）,6.8,0.5,0.3
西瓜 （京欣一号）,8.1,0.5,Tr
西瓜 (郑州三号）,5.7,0.6,0.1
西瓜（忠于6号，黑皮）,6.5,0.5,0.5
子瓜,0.6,0.2,0.3
小西瓜[地雷瓜],6.7,0.8,0.1
海蟹,4.7,13.8,2.3
河蟹,2.3,17.5,2.6
锯缘青蟹[青蟹】,1.7,14.6,1.6
梭子蟹,0.9,15.9,3.1
蟹肉,1.1,11.6,1.2
海蟹 (小),3.6,14.2,1.1
锯缘青蟹 (公，鲜),3.1,16.7,5.2
锯缘青蟹(母，鲜),4.5,17.3,7.5
大闸蟹 (母),0.6,21.0,7.7
海蟹 (公),2.5,18.0,0.3
海蟹（母),1.2,14.2,0.3
蟹足棒,,9.0,0.6 20.5
蟹膏 (大闸蟹，蒸),4.4,15.4,9.8
蟹肉 (大闸蟹，公，蒸),Tr,24.2,3.4
蟹黄 (大闸蟹，蒸),1.2,24.0,17.2
蟹肉 (大闸蟹，母，蒸),0.9,22.4,4.2
梭子蟹(公，蒸),Tr,19.0,0.2
梭子蟹 (母，蒸),Tr,24.1,0.4
慈姑（鲜）［乌芋，白地果］,19.9,4.6,0.2
豆瓣菜(鲜)西洋菜，水田芥］,1.5,2.9,0.5
菱角（老，鲜）[龙角］,21.4,4.5,0.1
蒲菜(鲜[香蒲，甘蒲，野苓白],2.4,1.2,0.1
水芹菜,1.8,1.4,0.2
菱白(鲜)[芡笋，荧粑］,5.9,1.2,0.2
荸荠（鲜）[马蹄，地栗],14.2,1.2,0.2
莼菜（瓶装）[花案菜],3.8,1.4,0.1
藕[莲藕],11.5,1.2,0.2
红菱,40.9,5.7,0.3
狗肉,,16.8,4.6 1.8
骆驼蹄,0.2,25.6,1.4
骆驼掌,0.3,72.8,2.0
兔肉,0.9,19.7,2.2
兔肉 (野),0.0,16.6,2.0
鹿肉 (养殖梅花鹿),0.3,19.7,1.3
发菜（干）[仙菜],,20.2,0.5 60.8
海带(鲜）[江白菜],2.1,1.2,0.1
海带[江白菜，昆布],23.4,1.8,0.1
海带(浸）[江白菜，昆布],3.0,1.1,0.1
海冻菜（干)[石花菜，冻菜],72.9,5.4,0.1
琼脂[紫菜胶洋粉］,76.3,1.1,0.2
苔菜（干）[苔条，条浒苔],26.3,19.0,0.4
紫菜 (干),44.1,26.7,1.1
螺旋藻（干）,18.2,64.7,3.1
裙带菜(干)[海芥菜、海木耳],41.5,25.0,1.7
海带菜（鲜，姑香牌）,15.3,1.4,7.5
婴儿配方奶粉（惠氏S-26 金装爱儿加早产儿出院后配 方奶粉）,,54.0,
骨髓蔬菜泥（亨氏骨髓蔬 菜泥3阶段）,,4.6,8.4
胡萝卜鱼肉泥（亨氏胡萝 卜鱼肉泥2阶段）,,1.4,6.0
混合蔬菜泥（亨氏混合蔬 菜泥1阶段),1.8,1.0,6.6
混合水果泥（亨氏混合水 果泥1阶段),,1.0,13.2
苹果胡萝卜泥（亨氏苹果 胡萝下泥1阶段),,1.0,8.2
苹果南瓜红枣泥（亨氏苹 果南瓜红枣泥2阶段）,,1.0,9.7
苹果泥（亨氏金香苹果泥1 阶段）,,1.0,9.8
苹果香蕉泥（亨氏苹果香 蕉泥1阶段）,,1.0,14.2
三文鱼番茄泥（亨氏三文 鱼番茄泥2阶段),,1.7,8.6
蔬菜骨泥（亨氏蔬菜骨泥2,,1.5,4.0
甜嫩豌豆泥（亨氏甜嫩豌 豆泥1阶段),1.5,1.0,9.3
甜嫩玉米泥（亨氏甜嫩玉 米泥1阶段）,,1.0,8.4
香甜胡萝卜泥（亨氏香甜 胡萝卜泥1阶段),,1.0,5.5
香甜南瓜泥（亨氏香甜南 瓜泥1阶段）,1.6,1.0,6.9
全脂奶粉 (代表值）,50.5,19.9,22.3
全脂奶粉 (多维奶粉),49.9,19.9,22.7
全脂奶粉,51.7,20.1,21.2
全脂奶粉 (速溶),54.0,19.9,18.9
全脂奶粉(雀巢),39.0,24.0,28.0
全脂奶粉（伊利牌）,45.5,22.0,26.0
全脂奶粉(红星速溶加锌奶粉),54.1,18.5,20.8
全脂奶粉（欧世蒙牛多维 高钙高铁奶粉）,51.1,18.2,21.7
全脂奶粉（雪花钙加锌调 制奶粉),55.5,17.0,19.0
全脂奶粉（雪花高钙多维 调制奶粉）,52.0,19.5,22.0
全脂甜奶粉 (代表值),49.6,20.2,22.9
全脂甜奶粉,47.4,22.5,23.4
全脂甜奶粉 (伊利牌),52.8,19.0,21.0
全脂甜奶粉（飞鹤全脂甜乳粉）,48.0,20.0,23.0
全脂甜奶粉（红星速溶全 脂甜奶粉),50.0,18.5,23.0
全脂甜奶粉（三元燕山牌 全脂甜奶粉）,50.0,21.0,24.0
低脂奶粉(代表值，高钙高铁),55.9,23.7,11.9
低脂奶粉(高钙高铁，雀巢),50.0,27.0,11.7
低脂奶粉(高钙高铁，伊利牌),53.9,27.0,11.0
低脂奶粉(高钙高铁，可淇牌),63.0,17.0,13.0
全脂奶粉 (全脂羊乳粉),49.0,18.8,25.2
驴奶粉（花麒牌，西域龙 驴奶粉）,62.4,20.1,12.4
驴奶粉 (金驴龙奶）,70.8,14.8,8.2
驴奶粉(源西域牌，冻干特质),60.0,19.3,12.3
驼奶粉（花麒牌，西域龙 驼奶粉）,,20.2 30.4,43.4
驼奶粉 (天山牧歌牌),,16.7 28.6,47.1
驼奶粉（旺源牌，全脂驼 乳粉）,,21.3 34.6,37.0
儿童配方奶粉 (代表值),1.1,19.0,17.3 56.1
儿童配方奶粉（安儿健 A+，美赞臣）,,17.9,11.1 64.0
儿童配方奶粉（适体健， 美赞臣),,16.0 9.0,68.0
儿童配方奶粉 (惠氏),,17.0 15.0,62.0
儿童配方奶粉 (可淇牌),,17.0,17.0 59.0
儿童配方奶粉(完达山牌),,17.0 18.0,57.0
儿童配方奶粉（贝因美特 选幼童配方奶粉4阶段),0.6,18.0 19.5,56.6
儿童配方奶粉（多美滋优 阶儿童配方奶粉）,,19.6 10.0,59.4
儿童配方奶粉（惠氏金装 学儿乐学龄前儿童配方奶粉),3.0,17.0 16.0,58.9
儿童配方奶粉（美素佳儿 GOLD 金装儿童配方奶粉）,,25.8,17.0 49.0
儿童配方奶粉（美赞臣安 儿健儿童配方奶粉）,3.0,20.0,12.0 63.0
儿童配方奶粉（明治珍爱 童儿童配方奶粉）,0.3,20.0,19.0 53.7
儿童配方奶粉（欧世蒙牛 金装佳智学龄前儿童特殊配 方奶粉4阶段),52.5,17.9,20.9
儿童配方奶粉（雀巢能恩 全进口奶源儿童配方奶粉4）,49.0,22.0,19.0
儿童配方奶粉（三元爱益 儿童成长配方奶粉),60.0,20.0,20.0
儿童配方奶粉（完达山4 段儿童奶粉）,,,19.2 55.7
儿童配方奶粉（完达山金 装元乳4段儿童奶粉),,19.8,54.8
儿童配方奶粉（雪花学生 特殊配方奶粉）,,,19.0 55.0
儿童配方奶粉（雪花学生 营养奶粉）,,19.5,54.0
儿童配方奶粉（雅培金装 喜康宝儿童配方奶粉）,0.7,15.9,58.1
儿童配方奶粉（雅士利儿 童奶粉）,,18.0,53.0
儿童配方奶粉（伊利儿童 配方奶粉）,0.6,20.0,50.6
儿童配方奶粉（伊利金领 冠儿童配方奶粉),50.6,21.5,20.0
儿童配方奶粉（伊利金装 儿童配方奶粉）,0.6,21.5,20.0 50.6
儿童配方奶粉（伊利学生 营养奶粉）,,18.0 20.0,53.0
孕产妇配方奶粉（代表值）,60.5,22.0,9.8
孕产妇配方奶粉 (惠氏),70.0,16.0,6.8
孕产妇配方奶粉(美赞臣),62.4,23.3,3.9
孕产妇配方奶粉（贝因美 冠军宝贝孕妈咪配方奶粉）,59.0,22.5,12.0
孕产妇配方奶粉（贝因美 金装爱+孕妈咪配方奶粉）,59.0,22.5,12.0
孕产妇配方奶粉（贝因美 金装爱+准妈咪配方奶粉),61.5,22.5,10.0
孕产妇配方奶粉（多美滋 优阶妈妈孕产妇配方奶粉）,67.4,20.5,2.5
孕产妇配方奶粉（飞帆孕 产妇配方乳粉）,57.7,18.0,17.5
孕产妇配方奶粉（合生元 金装妈妈配方奶粉）,62.7,27.0,2.8
孕产妇配方奶粉（亨氏超 金妈妈孕产妇配方奶粉),57.0,26.0,8.0
孕产妇配方奶粉（惠氏爱 儿乐妈妈孕产妇配方奶粉）,67.0,19.0,6.9
孕产妇配方奶粉（美素佳 儿GOLD金装妈妈孕产妇 配方奶粉),47.1,27.0,17.5
孕产妇配方奶粉（美赞臣 安婴妈妈孕产妇配方奶粉）,62.0,24.0,4.3
孕产妇配方奶粉（雀巢妈 妈孕产妇奶粉),67.0,20.0,6.5
孕产妇配方奶粉（雀巢妈 妈孕产妇营养配方奶粉）,67.0,20.0,6.0
孕产妇配方奶粉（三元爱 力优妈妈配方奶粉）,56.3,22.5,13.8
孕产妇配方奶粉（圣元优 博妈咪孕产妇配方奶粉),,22.0,16.0 52.0
孕产妇配方奶粉（完达山 妈咪配方奶粉）,1.2,22.5 17.5,52.4
孕产妇配方奶粉（雅培妈妈 喜康素金装孕产妇配方奶粉),3.7,23.1 2.0,66.0
孕产妇配方奶粉（雅士利 能慧金装孕产妇奶粉),3.0,20.6 12.5,59.0
孕产妇配方奶粉（伊利金 领冠妈妈配方奶粉）,0.9,22.0 14.0,60.9
孕产妇配方奶粉（伊利孕 妇奶粉）,,22.0,14.0 56.7
孕产妇配方羊奶粉（美可 高特孕产妇配方羊奶粉),,22.0 15.5,54.9
中老年配方奶粉(代表值),,21.8,12.8 55.7
中老年配方奶粉(可淇牌),,18.0,12.0 63.0
中老年配方奶粉 (雀巢),44.8,30.0,14.4
中老年配方奶粉(森永牌),60.0,22.0,10.0
中老年配方奶粉（三元爱 益中老年配方奶粉),63.0,20.0,13.0
中老年配方奶粉（雪花中 老年特殊配方奶粉),,20.0,13.6 58.0
中老年营养奶粉（雪花中 老年营养奶粉),,21.0,14.0 58.0
炼乳(甜，罐头),55.4,8.0,8.7
奶皮子,6.3,12.2,42.9
奶片,59.3,13.3,20.2
全脂甜炼乳 (雀巢),64.9,7.5,10.0
全脂甜炼乳(燕山牌),62.8,8.2,10.0
脱脂甜炼乳,58.0,10.3,0.2
蛋白粉（益力健乳铁乳清 蛋白粉）,28.0,50.0,12.5
牛初乳奶片（纽瑞滋牛初,49.5,27.0,4.5
乳咀嚼奶片) 奶渣,41.3,44.4,4.2
